Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.39779340356037,24.39779340356037,24.27641134682624,24.38045310974121,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.3977743003328,24.553836822509766,24.3977743003328,24.553836822509766,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.536500531573626,24.62320194687954,24.48447968239008,24.60586166381836,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.64054310903722,24.88330708055483,24.623202825357392,24.865966796875,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,24.952674284246235,25.022035435835523,24.675229677889085,24.970014572143555,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,24.952669143676758,25.004689996651763,24.813946869076748,24.952669143676758,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.952669143676758,25.039370565301763,24.917988575026754,24.952669143676758,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.865967779246308,24.865967779246308,24.727245504327218,24.779266357421875,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.779272821880905,24.831293688546854,24.709911666326303,24.813953399658203,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.848626112904764,25.039369230310175,24.848626112904764,24.935327529907227,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.900647591776004,24.900647591776004,24.744585037231445,24.744585037231445,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.675239313428648,24.675239313428648,24.08566929469599,24.120349884033203,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.120344746541633,24.155025328492087,24.016303000690268,24.103004455566406,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.380443910800615,24.380443910800615,23.75619356884555,24.08565902709961,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.08565613323852,24.172357559204098,24.050975562852287,24.1723575592041,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.2417215261398,24.293742387783876,24.17236037728103,24.259061813354492,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.32841971674361,24.34576000164507,24.120336297926134,24.241718292236328,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.259052058397714,24.553836822509766,24.259052058397714,24.553836822509766,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,24.536500531573626,24.62320194687954,24.48447968239008,24.60586166381836,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,24.657894719745975,24.657894719745975,24.51917238658285,24.640554428100586,66200,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,24.727235208536925,24.727235208536925,24.536492159943723,24.5711727142334,66500,0.0,0.0,0.0
1993-03-02 00:00:00-05:00,24.588521861897387,24.935327529907223,24.553841295096404,24.935327529907227,182400,0.0,0.0,0.0
1993-03-03 00:00:00-05:00,24.970023665071526,25.056725136130805,24.935343076647815,25.039384841918945,280100,0.0,0.0,0.0
1993-03-04 00:00:00-05:00,25.07406440352331,25.07406440352331,24.90066146850586,24.90066146850586,89500,0.0,0.0,0.0
1993-03-05 00:00:00-05:00,24.935325260268907,25.039366951201877,24.813943287513773,24.831283569335938,40000,0.0,0.0,0.0
1993-03-08 00:00:00-05:00,24.883305062361753,25.386173248291016,24.883305062361753,25.386173248291016,50800,0.0,0.0,0.0
1993-03-09 00:00:00-05:00,25.334147644827347,25.351487923845024,25.247446249738957,25.299467086791992,169300,0.0,0.0,0.0
1993-03-10 00:00:00-05:00,25.299478696570027,25.35149955749512,25.195436974719843,25.351499557495117,194400,0.0,0.0,0.0
1993-03-11 00:00:00-05:00,25.368828777423122,25.438189895064742,25.247446821550284,25.282127380371094,70900,0.0,0.0,0.0
1993-03-12 00:00:00-05:00,25.07405837409957,25.09139866343159,24.86597490211534,25.022037506103516,643600,0.0,0.0,0.0
1993-03-15 00:00:00-05:00,25.004685571604764,25.143407821655277,25.004685571604764,25.143407821655273,310800,0.0,0.0,0.0
1993-03-16 00:00:00-05:00,25.143407821655277,25.21276894668053,25.143407821655277,25.143407821655273,30800,0.0,0.0,0.0
1993-03-17 00:00:00-05:00,25.108734374407014,25.108734374407014,24.95267179887548,24.98735237121582,21800,0.0,0.0,0.0
1993-03-18 00:00:00-05:00,25.091386977886334,25.24744950919316,25.091386977886334,25.143407821655273,59300,0.0,0.0,0.0
1993-03-19 00:00:00-05:00,25.24474897126536,25.24474897126536,25.105371475219727,25.105371475219727,66900,0.213,0.0,0.0
1993-03-22 00:00:00-05:00,24.86144556470127,25.01824515130415,24.84402338841206,24.965978622436523,183400,0.0,0.0,0.0
1993-03-23 00:00:00-05:00,25.035679325751936,25.053101510390597,24.98341277183596,25.01825714111328,55200,0.0,0.0,0.0
1993-03-24 00:00:00-05:00,24.98341277183596,25.12279024894523,24.861457479365356,25.01825714111328,37200,0.0,0.0,0.0
1993-03-25 00:00:00-05:00,25.03568087911111,25.22732492202706,25.000836507671846,25.175058364868164,110100,0.0,0.0,0.0
1993-03-26 00:00:00-05:00,25.157622653905435,25.175044830258553,25.018245243080475,25.035667419433594,101500,0.0,0.0,0.0
1993-03-29 00:00:00-05:00,25.053102087495397,25.262168307975195,25.053102087495397,25.140213012695312,87100,0.0,0.0,0.0
1993-03-30 00:00:00-05:00,25.17504982068445,25.209894180297855,25.140205461071044,25.20989418029785,56000,0.0,0.0,0.0
1993-03-31 00:00:00-05:00,25.279573788781384,25.349262482892428,25.192462921142578,25.192462921142578,111600,0.0,0.0,0.0
1993-04-01 00:00:00-05:00,25.227326784259656,25.227326784259656,25.053104914202613,25.105371475219727,129500,0.0,0.0,0.0
1993-04-02 00:00:00-05:00,24.896307756679434,24.896307756679434,24.582708358764645,24.58270835876465,59400,0.0,0.0,0.0
1993-04-05 00:00:00-04:00,24.774347248803746,24.774347248803746,24.63496976779782,24.70465850830078,172200,0.0,0.0,0.0
1993-04-06 00:00:00-04:00,24.75691542294946,24.75691542294946,24.565271461195454,24.634960174560547,129700,0.0,0.0,0.0
1993-04-07 00:00:00-04:00,24.669813676313918,24.72208023071289,24.61754712191495,24.72208023071289,28000,0.0,0.0,0.0
1993-04-08 00:00:00-04:00,24.82660851515593,24.82660851515593,24.582697975357906,24.687231063842773,180800,0.0,0.0,0.0
1993-04-12 00:00:00-04:00,24.93113436131487,25.053089595786712,24.896290008608634,25.035667419433594,348500,0.0,0.0,0.0
1993-04-13 00:00:00-04:00,25.018249591191612,25.175049205621086,25.00082741181056,25.08793830871582,146100,0.0,0.0,0.0
1993-04-14 00:00:00-04:00,25.105361403941444,25.12278358395806,25.03567268387499,25.0530948638916,119600,0.0,0.0,0.0
1993-04-15 00:00:00-04:00,25.03567268387499,25.105361403941444,24.948561783791916,25.0530948638916,148600,0.0,0.0,0.0
1993-04-16 00:00:00-04:00,25.070517043908215,25.105361403941444,25.018250503858372,25.0530948638916,47900,0.0,0.0,0.0
1993-04-19 00:00:00-04:00,25.053091875001705,25.122780586754146,24.93113662943494,24.948558807373047,157000,0.0,0.0,0.0
1993-04-20 00:00:00-04:00,24.913717651367186,24.94856201171875,24.66980712890625,24.82660675048828,279500,0.0,0.0,0.0
1993-04-21 00:00:00-04:00,24.878875662771502,24.878875662771502,24.739498208078103,24.809186935424805,67900,0.0,0.0,0.0
