Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-02 00:00:00-04:00,0.24962197244167328,0.24962197244167328,0.24962197244167328,0.24962197244167328,52715,0.0,0.0
1973-05-03 00:00:00-04:00,0.24962197244167328,0.25101650410060594,0.24962197244167328,0.24962197244167328,33087,0.0,0.0
1973-05-04 00:00:00-04:00,0.24962211417288685,0.25101664662361145,0.24962211417288685,0.25101664662361145,50472,0.0,0.0
1973-05-07 00:00:00-04:00,0.25101664662361145,0.2524111641577956,0.24962211417288685,0.25101664662361145,42340,0.0,0.0
1973-05-08 00:00:00-04:00,0.25101664662361145,0.2524111641577956,0.24962211417288685,0.25101664662361145,32246,0.0,0.0
1973-05-09 00:00:00-04:00,0.25101664662361145,0.2524111641577956,0.25101664662361145,0.25101664662361145,46827,0.0,0.0
1973-05-10 00:00:00-04:00,0.25101664662361145,0.2524111641577956,0.25101664662361145,0.25101664662361145,24956,0.0,0.0
1973-05-11 00:00:00-04:00,0.25101664662361145,0.2524111641577956,0.25101664662361145,0.25101664662361145,34489,0.0,0.0
1973-05-14 00:00:00-04:00,0.25101650410060594,0.2524110208430066,0.24962197244167328,0.24962197244167328,69820,0.0,0.0
1973-05-15 00:00:00-04:00,0.24962197244167328,0.25101650410060594,0.24822744078274062,0.24962197244167328,30283,0.0,0.0
1973-05-16 00:00:00-04:00,0.2496220988457349,0.2496220988457349,0.2482275664806366,0.2482275664806366,49631,0.0,0.0
1973-05-17 00:00:00-04:00,0.2482275664806366,0.2496220988457349,0.2482275664806366,0.2482275664806366,19628,0.0,0.0
1973-05-18 00:00:00-04:00,0.2482275664806366,0.2496220988457349,0.24543847191736087,0.2482275664806366,56921,0.0,0.0
1973-05-21 00:00:00-04:00,0.2482275664806366,0.2482275664806366,0.24404393955226253,0.2482275664806366,46266,0.0,0.0
1973-05-22 00:00:00-04:00,0.24822744078274062,0.2524110208430066,0.24543834763181133,0.24962197244167328,22152,0.0,0.0
